address,name,size,is_named,subsystem
0x0011CD30,RFU086_WaitEvnetFlag,16,true,NETWORK
0x0011CD40,FUN_0011cd40,48,false,SDK
0x0011CDD0,FUN_0011cdd0,64,false,SDK
0x0011CE10,FUN_0011ce10,500,false,UNKNOWN
0x0011D3A0,FUN_0011d3a0,84,false,UNKNOWN
0x0011D3F8,FUN_0011d3f8,24,false,UNKNOWN
0x0011D410,FUN_0011d410,72,false,UNKNOWN
0x0011D468,FUN_0011d468,16,false,UNKNOWN
0x0011D4F0,FUN_0011d4f0,16,false,UNKNOWN
0x0011D500,FUN_0011d500,52,false,UNKNOWN
0x0011D538,FUN_0011d538,252,false,UNKNOWN
0x0011D638,RFU116_SetSyscall,16,true,NAMED
0x0011D648,FUN_0011d648,84,false,UNKNOWN
0x0011D6A0,RFU116_SetSyscall,16,true,NAMED
0x0011D6B0,FUN_0011d6b0,16,false,UNKNOWN
0x0011D6F8,RFU091,16,true,NAMED
0x0011D708,FUN_0011d708,104,false,UNKNOWN
0x0011D770,FUN_0011d770,172,false,UNKNOWN
0x0011D820,FUN_0011d820,16,false,UNKNOWN
0x0011D860,RFU116_SetSyscall,16,true,NAMED
0x0011D870,FUN_0011d870,280,false,UNKNOWN
0x0011D988,thunk_FUN_0011cdd0,8,true,SDK
